"Name","PathName","ProcessID"
"wisvc","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"WlanSvc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"wlidsvc","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"wlpasvc","C:\Windows\system32\svchost.exe -k LocalServiceNetworkRestricted -p","0"
"WManSvc","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"wmiApSrv","C:\Windows\system32\wbem\WmiApSrv.exe","0"
"WMPNetworkSvc","""C:\Program Files\Windows Media Player\wmpnetwk.exe""","0"
"workfolderssvc","C:\Windows\System32\svchost.exe -k LocalService -p","0"
"WpcMonSvc","C:\Windows\system32\svchost.exe -k LocalService","0"
"WPDBusEnum","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted","0"
"WpnService","C:\Windows\system32\svchost.exe -k netsvcs -p","2512"
"wscsvc","C:\Windows\System32\svchost.exe -k LocalServiceNetworkRestricted -p","5968"
"WSearch","C:\Windows\system32\SearchIndexer.exe /Embedding","0"
"wuauserv","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"WwanSvc","C:\Windows\system32\svchost.exe -k LocalSystemNetworkRestricted -p","0"
"XblAuthManager","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"XblGameSave","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"XboxGipSvc","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"XboxNetApiSvc","C:\Windows\system32\svchost.exe -k netsvcs -p","0"
"BcastDVRUserService_10d54a","C:\Windows\system32\svchost.exe -k BcastDVRUserService","0"
"BluetoothUserService_10d54a","C:\Windows\system32\svchost.exe -k BthAppGroup -p","0"
"CaptureService_10d54a","C:\Windows\system32\svchost.exe -k LocalService -p","0"
"cbdhsvc_10d54a","C:\Windows\system32\svchost.exe -k ClipboardSvcGroup -p","428"
"CDPUserSvc_10d54a","C:\Windows\system32\svchost.exe -k UnistackSvcGroup","2524"
"ConsentUxUserSvc_10d54a","C:\Windows\system32\svchost.exe -k DevicesFlow","0"
"DevicePickerUserSvc_10d54a","C:\Windows\system32\svchost.exe -k DevicesFlow","0"
"DevicesFlowUserSvc_10d54a","C:\Windows\system32\svchost.exe -k DevicesFlow","0"
"MessagingService_10d54a","C:\Windows\system32\svchost.exe -k UnistackSvcGroup","0"
"OneSyncSvc_10d54a","C:\Windows\system32\svchost.exe -k UnistackSvcGroup","3024"
"PimIndexMaintenanceSvc_10d54a","C:\Windows\system32\svchost.exe -k UnistackSvcGroup","0"
"PrintWorkflowUserSvc_10d54a","C:\Windows\system32\svchost.exe -k PrintWorkflow","3540"
"UnistoreSvc_10d54a","C:\Windows\System32\svchost.exe -k UnistackSvcGroup","0"
"UserDataSvc_10d54a","C:\Windows\system32\svchost.exe -k UnistackSvcGroup","0"
"WpnUserService_10d54a","C:\Windows\system32\svchost.exe -k UnistackSvcGroup","2888"
